D5
2022-06-19
Tina Christmann,00:11:06,00:01:21,00:34:14,00:01:15,00:19:43,01:07:40
Emma Thiele,00:11:05,00:01:25,00:34:16,00:01:15,00:20:06,01:08:08
Ronja Steiling,00:10:37,00:01:19,00:34:44,00:01:15,00:20:12,01:08:09
Carlota Hellbusch,00:10:48,00:01:24,00:34:37,00:01:20,00:20:10,01:08:20
Kajsa Sophie Grönberg Christensen,00:09:36,00:01:23,00:35:47,00:01:23,00:20:13,01:08:22
Nina Rosenbladt,00:10:36,00:01:21,00:34:45,00:01:15,00:20:29,01:08:27
Celina Kaarup,00:11:01,00:01:14,00:34:26,00:01:15,00:20:31,01:08:29
Lisanne Naumann,00:11:09,00:01:19,00:34:11,00:01:12,00:21:00,01:08:54
Marie Miroslaw,00:11:04,00:01:22,00:34:20,00:01:18,00:21:03,01:09:09
Sophie Schumann,00:10:35,00:01:22,00:34:45,00:01:15,00:21:34,01:09:32
Larissa Jasper,00:11:19,00:01:27,00:35:48,00:01:16,00:20:23,01:10:14
Anna Lechowicz,00:12:48,00:01:22,00:35:29,00:01:35,00:19:18,01:10:33
Maleen Butterbrodt,00:10:44,00:01:25,00:34:45,00:01:22,00:22:40,01:10:56
Charlotte Friedrich,00:11:57,00:01:31,00:35:58,00:01:24,00:20:15,01:11:07
Johanna Wachendorff,00:11:22,00:01:24,00:35:48,00:01:22,00:21:23,01:11:20
Friederike Willoughby,00:11:07,00:01:26,00:35:59,00:01:25,00:21:48,01:11:47
Olivia Peel,00:12:32,00:01:29,00:36:04,00:01:21,00:20:37,01:12:05
Tatjana Kortmann,00:11:12,00:01:22,00:36:06,00:01:27,00:22:03,01:12:12
Christine Becker,00:12:02,00:01:26,00:36:02,00:01:33,00:21:41,01:12:45
Kathia Spiegeler,00:11:10,00:01:22,00:37:24,00:01:31,00:22:28,01:13:58
Stina Malin Mick,00:12:37,00:01:32,00:35:38,00:01:31,00:23:06,01:14:25
Katja Konschak,00:10:56,00:01:42,00:39:04,00:01:42,00:21:41,01:15:07
Josephin Betche,00:13:45,00:01:31,00:38:11,00:01:19,00:21:36,01:16:23
Arina Valaeva,00:11:02,00:01:25,00:40:41,00:01:22,00:22:06,01:16:38
Kimberly Miller,00:14:04,00:01:54,00:36:50,00:01:45,00:22:33,01:17:07
Maja Gießmann,00:11:35,00:01:26,00:38:15,00:01:23,00:24:32,01:17:11
Marie Elisabeth Alert,00:11:40,00:01:29,00:40:04,00:01:33,00:22:27,01:17:15
Lena Schott,00:12:24,00:01:38,00:37:30,00:01:34,00:26:29,01:19:36
Hjördis Mick,00:11:45,00:01:43,00:00:00,00:00:00,00:00:00,00:00:00
Sina Günther,00:15:19,00:01:38,00:00:00,00:00:00,00:00:00,00:00:00
Carmen Otten,00:15:42,00:01:25,00:38:54,00:00:00,00:00:00,00:00:00
Simone Terheggen,00:15:59,00:01:55,00:00:00,00:00:00,00:00:00,00:00:00
