D5
2023-06-18
Thalia Stach,00:11:29,00:01:25,00:34:11,00:01:25,00:19:53,01:08:25
Emily Lucy Köpper,00:11:31,00:01:28,00:34:07,00:01:32,00:19:55,01:08:34
Fabienne Gericke,00:10:57,00:01:30,00:34:35,00:01:25,00:20:13,01:08:43
Finja Herrmann,00:11:04,00:01:30,00:34:29,00:01:30,00:20:36,01:09:10
Lena Brunkhorst,00:12:32,00:01:29,00:33:55,00:01:34,00:19:45,01:09:16
Ronja Steiling,00:11:11,00:01:34,00:34:21,00:01:30,00:20:45,01:09:22
Marie Miroslaw,00:11:40,00:01:29,00:34:46,00:01:38,00:20:04,01:09:38
Mori Finder,00:11:10,00:01:34,00:34:23,00:01:34,00:21:01,01:09:44
Larissa Jasper,00:11:50,00:01:30,00:34:35,00:01:37,00:20:16,01:09:49
Hjördis Mick,00:11:05,00:01:39,00:34:23,00:01:33,00:21:09,01:09:51
Marie Hielscher,00:11:49,00:01:46,00:34:26,00:01:52,00:20:14,01:10:08
Carlota Hellbusch,00:11:42,00:01:32,00:34:41,00:01:38,00:20:42,01:10:18
Stefanie Walter,00:11:13,00:01:38,00:34:17,00:01:37,00:21:33,01:10:20
Lena Cecilia Riedel,00:11:37,00:01:35,00:34:43,00:01:34,00:20:58,01:10:29
Sophie Schumann,00:11:10,00:01:33,00:34:24,00:01:34,00:21:54,01:10:36
Marike Schneehagen,00:12:07,00:01:34,00:34:16,00:01:36,00:21:18,01:10:54
Celina Kaarup,00:11:48,00:01:35,00:34:33,00:01:35,00:21:29,01:11:02
Therese Schuhenn,00:12:22,00:01:26,00:35:57,00:01:24,00:20:00,01:11:11
Olivia Peel,00:12:38,00:01:38,00:36:04,00:01:33,00:20:28,01:12:22
Greta Scholz,00:11:35,00:01:36,00:34:50,00:01:45,00:23:13,01:13:00
Tabea Herzberg,00:11:49,00:01:29,00:34:38,00:01:35,00:23:34,01:13:08
Christine Becker,00:12:39,00:01:34,00:35:39,00:01:52,00:21:38,01:13:24
Lea Lützen,00:15:13,00:01:36,00:34:18,00:01:43,00:20:44,01:13:36
Florentine Exner-Anaç,00:13:41,00:01:44,00:35:50,00:01:45,00:20:41,01:13:43
Leonie-Sophie Seltmann,00:13:48,00:01:40,00:35:46,00:01:33,00:21:06,01:13:55
Julia Dreyer,00:11:59,00:01:47,00:36:14,00:01:46,00:22:18,01:14:04
Julia Hey,00:11:44,00:01:33,00:36:41,00:01:45,00:22:31,01:14:14
Franziska Holl,00:13:40,00:01:46,00:35:50,00:01:41,00:21:33,01:14:32
Nina Breidenbicher,00:13:10,00:01:41,00:36:24,00:01:37,00:21:52,01:14:46
Katja Konschak,00:11:54,00:01:47,00:37:45,00:01:57,00:21:47,01:15:12
Meike Kling,00:13:37,00:01:47,00:36:03,00:01:55,00:21:49,01:15:13
Inga Sauer,00:11:45,00:01:39,00:37:49,00:01:36,00:22:46,01:15:36
Stina Malin Mick,00:12:30,00:01:47,00:36:18,00:01:55,00:24:08,01:16:39
Gwendolin Rapp,00:12:30,00:01:43,00:36:20,00:01:59,00:24:23,01:16:58
Emily Theiler,00:11:03,00:01:42,00:36:39,00:01:48,00:26:11,01:17:24
Laura Mählmann,00:12:03,00:01:44,00:36:18,00:01:47,00:26:03,01:17:56
Greta Kloppenburg,00:12:27,00:01:39,00:36:24,00:01:54,00:25:31,01:17:56
Janina Romanowski,00:14:11,00:01:41,00:38:09,00:01:55,00:23:36,01:19:34
Annette Baumbach-Goetze,00:12:42,00:01:43,00:36:58,00:01:54,00:26:33,01:19:53
Ellen Klein,00:14:01,00:01:42,00:38:20,00:01:48,00:24:14,01:20:07
Johanna Geise,00:13:19,00:02:07,00:00:00,00:00:00,00:00:00,00:00:00
Anna Spindler,00:13:37,00:01:44,00:00:00,00:00:00,00:00:00,00:00:00
Mara Bünder,00:15:00,00:01:53,00:00:00,00:00:00,00:00:00,00:00:00
Anna Gerhard,00:15:01,00:01:40,00:00:00,00:00:00,00:00:00,00:00:00
