D5
2023-05-27
Katharina Wolff,00:11:36,00:01:14,00:32:03,00:01:05,00:16:53,01:02:52
Emma Graf,00:11:54,00:01:12,00:32:32,00:00:56,00:16:50,01:03:26
Linda Detering,00:11:57,00:01:20,00:32:19,00:00:55,00:17:21,01:03:54
Mattea Buggle,00:11:51,00:01:14,00:32:36,00:00:57,00:17:22,01:04:01
Kathrin Halter,00:11:29,00:01:08,00:32:11,00:00:56,00:18:24,01:04:09
Helen Scheffold,00:10:55,00:01:22,00:32:37,00:00:57,00:18:27,01:04:19
Nina Koller,00:11:37,00:01:17,00:32:00,00:01:04,00:18:21,01:04:21
Elena Pluta,00:12:07,00:01:23,00:32:09,00:01:01,00:17:40,01:04:21
Emmely Kaiser,00:11:15,00:01:17,00:33:08,00:00:57,00:17:54,01:04:33
Maray Benner,00:11:16,00:01:18,00:33:09,00:00:58,00:18:03,01:04:45
Katharina Link,00:11:42,00:01:21,00:32:37,00:01:02,00:18:17,01:05:01
Sophia Stößer,00:11:44,00:01:20,00:32:36,00:00:57,00:18:23,01:05:02
Julia Arnegger,00:12:27,00:01:26,00:31:50,00:01:09,00:18:20,01:05:14
Hanna Krauß,00:11:33,00:01:23,00:32:48,00:01:04,00:18:27,01:05:17
Juliane Möllers,00:11:14,00:01:20,00:32:16,00:00:59,00:19:35,01:05:25
Lorena Erl,00:12:09,00:01:15,00:32:46,00:00:56,00:18:37,01:05:45
Anastasiia Terentieva,00:11:43,00:01:16,00:32:46,00:00:56,00:19:10,01:05:53
Kim Essers,00:12:20,00:01:24,00:32:30,00:01:07,00:18:34,01:05:56
Lena Miller,00:12:28,00:01:18,00:32:27,00:01:01,00:18:48,01:06:03
Sophia Salzwedel,00:12:24,00:01:23,00:33:58,00:01:04,00:17:19,01:06:09
Verena Dormehl,00:11:41,00:01:28,00:33:06,00:01:07,00:18:48,01:06:11
Leonie Schmoll,00:11:39,00:01:27,00:32:36,00:01:01,00:19:31,01:06:15
Lena Moraw,00:12:07,00:01:21,00:32:45,00:01:05,00:19:02,01:06:22
Isabell Gewehr,00:12:14,00:01:45,00:33:49,00:02:02,00:16:33,01:06:25
Kati Wiedenbrüg,00:11:28,00:01:39,00:32:38,00:01:00,00:19:41,01:06:28
Sophie Schmitz,00:12:59,00:01:38,00:33:05,00:01:13,00:17:45,01:06:42
Maike Baldus,00:13:20,00:01:29,00:32:48,00:01:04,00:18:01,01:06:43
Anna-Lena Theisen,00:14:20,00:01:22,00:32:30,00:01:11,00:17:28,01:06:53
Nelly Strein,00:11:32,00:01:26,00:32:45,00:00:59,00:20:13,01:06:56
Anna Brugger,00:10:48,00:01:10,00:33:44,00:01:04,00:20:11,01:06:58
Annika Rahner,00:13:16,00:01:23,00:32:56,00:01:03,00:18:28,01:07:08
Carmen Schmidt,00:13:17,00:01:20,00:33:02,00:01:02,00:18:32,01:07:15
Alba Warter Rubio,00:12:26,00:01:19,00:32:29,00:01:08,00:20:06,01:07:30
Klara Binsteiner,00:11:30,00:01:18,00:32:55,00:00:58,00:20:50,01:07:32
Katja Schneider,00:12:15,00:01:28,00:33:57,00:01:03,00:19:16,01:08:01
Leonie Reichel,00:12:39,00:01:23,00:33:42,00:01:08,00:19:15,01:08:09
Monika Wensing,00:13:19,00:01:37,00:34:29,00:01:01,00:17:44,01:08:11
Heike Brendemühl,00:12:59,00:01:50,00:32:54,00:01:19,00:19:18,01:08:22
Henrike Prokopp,00:13:21,00:01:31,00:32:53,00:01:08,00:19:43,01:08:36
Sophia Hagenbuch,00:11:50,00:01:24,00:34:31,00:01:14,00:19:47,01:08:48
Maike Syassen,00:12:19,00:01:23,00:32:30,00:01:01,00:21:37,01:08:52
Sabrina Klotz,00:11:55,00:01:21,00:34:27,00:01:15,00:20:34,01:09:34
Hannah Hartlieb,00:12:21,00:01:52,00:33:30,00:01:18,00:20:40,01:09:44
Tabea Schuh,00:12:44,00:01:30,00:33:28,00:01:09,00:22:34,01:11:27
Rita Steger,00:11:43,00:01:25,00:39:40,00:01:19,00:18:27,01:12:36
Claire Crennan,00:12:55,00:01:28,00:36:49,00:01:24,00:20:38,01:13:16
Alexa Puzicha,00:12:08,00:01:25,00:36:49,00:01:30,00:21:26,01:13:20
Marie Pöllinger,00:12:55,00:01:36,00:38:27,00:01:26,00:20:36,01:15:01
Hannah Geizenauer,00:12:36,00:01:31,00:38:50,00:01:06,00:21:26,01:15:30
Lina Kronschnabl,00:14:22,00:01:27,00:37:10,00:01:08,00:00:00,00:00:00
Janina Reiter,00:11:42,00:01:33,00:00:00,00:00:00,00:00:00,00:00:00
