D5
2023-06-25
Emma Graf,0:11:59,0:00:43,0:29:50,0:00:32,0:15:12,0:58:15
Mattea Buggle,0:12:26,0:00:43,0:29:25,0:00:35,0:16:06,0:59:14
Ava Martha Brambier,0:11:28,0:00:46,0:30:22,0:00:37,0:16:09,0:59:21
Eva Schien,0:12:26,0:00:49,0:29:18,0:00:36,0:16:15,0:59:24
Elena Pluta,0:11:54,0:00:45,0:29:55,0:00:38,0:16:16,0:59:27
Katharina Link,0:11:27,0:00:48,0:30:16,0:00:42,0:16:33,0:59:44
Kirsi Schmidt,0:11:00,0:00:45,0:30:46,0:00:29,0:17:16,1:00:15
Kristin Buser,0:12:11,0:00:48,0:29:33,0:00:36,0:17:09,1:00:16
Lea Borst,0:11:55,0:00:45,0:29:56,0:00:30,0:17:20,1:00:24
Alessa Reiner,0:11:46,0:00:47,0:30:04,0:00:38,0:17:12,1:00:26
Monika Wensing,0:12:47,0:00:44,0:29:57,0:00:39,0:16:25,1:00:31
Juliane Möllers,0:10:48,0:00:45,0:30:58,0:00:34,0:17:37,1:00:41
Vanessa Baumeister,0:12:09,0:00:57,0:30:25,0:00:43,0:16:32,1:00:45
Anna Brugger,0:09:58,0:00:47,0:31:50,0:00:34,0:17:41,1:00:48
Hanna Krauß,0:10:52,0:00:47,0:31:50,0:00:36,0:16:46,1:00:49
Laura Hoffmann,0:12:05,0:00:52,0:29:36,0:00:36,0:17:46,1:00:53
Henrike Prokopp,0:12:32,0:00:52,0:30:08,0:00:36,0:16:49,1:00:57
Annika Rahner,0:12:22,0:00:45,0:30:20,0:00:35,0:17:17,1:01:18
Eva Estler,0:11:29,0:00:44,0:30:16,0:00:38,0:18:15,1:01:21
Lorena Erl,0:12:16,0:00:47,0:30:25,0:00:33,0:17:25,1:01:25
Nelly Strein,0:10:59,0:00:45,0:30:48,0:00:30,0:18:26,1:01:27
Leonie Reichel,0:12:28,0:00:49,0:30:14,0:00:44,0:17:27,1:01:41
Mara Winden,0:12:24,0:00:50,0:30:16,0:00:37,0:17:38,1:01:45
Janina Reiter,0:11:16,0:00:48,0:31:31,0:00:35,0:17:37,1:01:46
Nicole Müller,0:12:16,0:00:46,0:30:23,0:00:40,0:17:48,1:01:51
Madita Hendriks,0:12:36,0:00:54,0:29:56,0:00:46,0:17:52,1:02:02
Leonie Schmoll,0:11:17,0:00:50,0:31:27,0:00:33,0:18:00,1:02:05
Claire Crennan,0:12:30,0:00:50,0:30:15,0:00:39,0:18:04,1:02:16
Maike Syassen,0:11:53,0:00:48,0:29:49,0:00:35,0:19:16,1:02:19
Alba Warter Rubio,0:12:07,0:00:45,0:30:35,0:00:33,0:18:24,1:02:24
Katharina Kern,0:12:26,0:00:50,0:30:10,0:00:37,0:18:33,1:02:35
Ilsa Beig,0:12:37,0:00:49,0:30:05,0:00:38,0:18:35,1:02:43
Fabienne Hagenbuch,0:11:56,0:00:46,0:30:43,0:00:34,0:19:04,1:03:01
Delia Blaess,0:11:16,0:00:49,0:31:24,0:00:50,0:19:04,1:03:22
Hannah Geizenauer,0:12:13,0:00:50,0:30:22,0:00:36,0:19:53,1:03:53
Melena Skala,0:13:50,0:00:46,0:31:12,0:00:38,0:17:37,1:04:01
Rita Steger,0:11:28,0:00:52,0:33:27,0:00:45,0:17:35,1:04:05
Tabea Schuh,0:12:24,0:00:49,0:30:20,0:00:40,0:20:22,1:04:35
Lea Broselge,0:12:30,0:00:53,0:30:09,0:00:39,0:20:26,1:04:35
Anna Schneider,0:13:39,0:00:52,0:31:20,0:01:08,0:17:57,1:04:55
Katharina Grölz,0:13:47,0:00:54,0:31:10,0:00:55,0:18:32,1:05:16
Lara Sontopski,0:12:05,0:00:50,0:32:36,0:00:44,0:19:36,1:05:50
Nathalie Krause,0:14:12,0:00:53,0:33:01,0:00:45,0:17:01,1:05:50
Anna Bader,0:12:05,0:00:53,0:32:53,0:00:44,0:19:22,1:05:56
Zita Kastl,0:12:43,0:00:45,0:32:21,0:00:37,0:19:48,1:06:14
Caroline Weingärtner,0:13:42,0:01:01,0:35:23,0:00:39,0:17:15,1:07:59
Ann Kristin Neuloh-Stein,0:11:11,0:01:34,0:36:26,0:00:45,0:22:17,1:12:13
Emma Bruch,0:14:26,0:01:25,0:34:02,0:03:39,0:22:11,1:15:41
Céline Weiler,0:11:34,0:00:50,0:00:00,0:00:00,0:00:00,0:00:00
