D5
2022-06-12
Richard Feuer,0:09:38,0:00:59,0:28:08,0:00:31,0:16:06,0:55:22
Ruben Zillig,0:10:04,0:00:57,0:27:55,0:00:39,0:15:49,0:55:25
Cornelius Theus,0:09:24,0:01:07,0:28:21,0:00:33,0:16:01,0:55:26
Nils Huckschlag,0:09:52,0:01:02,0:27:57,0:00:30,0:16:16,0:55:36
Kilian Bauer,0:09:41,0:01:01,0:28:09,0:00:36,0:16:12,0:55:40
Sebastian Neef,0:09:50,0:01:02,0:27:56,0:00:31,0:16:27,0:55:45
Noah Diemann,0:09:54,0:01:02,0:27:53,0:00:33,0:16:23,0:55:46
Johannes Bader,0:09:45,0:01:06,0:27:57,0:00:34,0:16:27,0:55:48
Herbert Enzinger,0:09:49,0:00:59,0:27:59,0:00:34,0:16:28,0:55:49
Julian Phillip Becker,0:08:53,0:01:05,0:28:54,0:00:32,0:16:27,0:55:52
Manuel Lessing,0:09:43,0:00:58,0:28:13,0:00:31,0:16:30,0:55:54
Benedikt Eckl,0:09:30,0:01:06,0:28:12,0:00:31,0:16:44,0:56:03
Uwe Drescher,0:10:10,0:01:00,0:27:35,0:00:29,0:16:52,0:56:06
Karl Mell,0:09:48,0:00:59,0:28:08,0:00:33,0:16:41,0:56:08
Luis Valentino Höra,0:09:59,0:00:59,0:27:51,0:00:48,0:16:42,0:56:19
Jonas Uster,0:10:33,0:00:58,0:28:30,0:00:30,0:15:50,0:56:21
Markus Klinder,0:08:52,0:01:18,0:28:45,0:00:36,0:17:05,0:56:36
Julian Müller,0:09:52,0:01:03,0:28:00,0:00:36,0:17:16,0:56:48
Raphael Junghans,0:10:17,0:01:03,0:28:56,0:00:41,0:15:54,0:56:50
Tim Braeutigam,0:09:03,0:01:08,0:28:39,0:00:34,0:17:28,0:56:53
Alexander Richter,0:10:37,0:01:09,0:28:22,0:00:28,0:16:19,0:56:54
Micha Grosch,0:09:44,0:01:05,0:28:01,0:00:38,0:17:28,0:56:56
Lars Anders,0:09:42,0:01:02,0:28:02,0:00:35,0:17:50,0:57:11
Fabian Knobelspies,0:09:41,0:01:13,0:28:04,0:00:39,0:17:36,0:57:14
Björn Geizenauer,0:09:22,0:01:10,0:28:21,0:00:33,0:17:52,0:57:18
Tim Dülfer,0:10:31,0:01:05,0:28:36,0:00:34,0:16:36,0:57:22
Sebastian Schober,0:10:01,0:01:09,0:28:59,0:00:32,0:16:44,0:57:26
Steffen Kundel,0:10:11,0:01:03,0:27:35,0:00:33,0:18:10,0:57:31
Philipp Hofmann,0:09:25,0:01:04,0:28:24,0:00:34,0:18:05,0:57:32
Jannik Stoll,0:09:42,0:01:07,0:28:08,0:00:36,0:18:03,0:57:36
Jan Erik Künne,0:10:43,0:00:57,0:28:21,0:00:29,0:17:06,0:57:38
Lasse Friedrichs,0:09:48,0:01:08,0:28:02,0:00:33,0:18:12,0:57:42
Mark Scheuring,0:10:00,0:01:07,0:29:07,0:00:32,0:16:59,0:57:44
Patrick Kilian,0:10:35,0:01:08,0:28:30,0:00:38,0:16:57,0:57:48
Elias Schipperges,0:10:11,0:01:14,0:28:52,0:00:37,0:16:57,0:57:52
Niklas Lentzkow,0:10:13,0:00:58,0:28:52,0:00:36,0:17:16,0:57:55
Robert Witschel,0:10:12,0:01:01,0:28:52,0:00:41,0:17:13,0:57:59
Christian Altstadt,0:10:39,0:01:06,0:28:25,0:00:33,0:17:36,0:58:19
Nils Friedrichs,0:09:36,0:01:05,0:28:10,0:00:30,0:19:00,0:58:22
Elias Knoll,0:10:17,0:01:04,0:28:55,0:00:33,0:17:35,0:58:24
Carl Sommer,0:10:37,0:01:03,0:28:31,0:00:35,0:17:40,0:58:26
Christof Briegel,0:10:37,0:01:11,0:28:21,0:00:37,0:17:42,0:58:27
Sebastian Reinhard,0:09:40,0:01:05,0:29:21,0:00:31,0:17:53,0:58:30
Jerome Peter,0:10:00,0:01:04,0:29:00,0:00:28,0:17:59,0:58:32
Hubert Hammerl,0:10:16,0:01:14,0:28:42,0:00:37,0:17:44,0:58:34
Jan Werner,0:10:17,0:01:06,0:28:47,0:00:41,0:17:55,0:58:46
Julius Ott,0:11:09,0:01:03,0:29:27,0:00:31,0:16:41,0:58:51
Sascha Petermann,0:10:12,0:01:02,0:28:55,0:00:32,0:18:11,0:58:52
Till Binsteiner,0:10:17,0:01:01,0:28:56,0:00:35,0:18:09,0:58:58
Eugen Ruff,0:09:56,0:01:08,0:29:11,0:00:36,0:18:13,0:59:03
Yves Becker,0:11:15,0:01:12,0:29:10,0:00:35,0:16:59,0:59:11
Gabriel Heid,0:10:32,0:01:05,0:28:40,0:00:38,0:18:29,0:59:23
