D5
2023-05-27
Ben Böhm,00:10:53,00:01:09,00:26:50,00:00:56,00:14:34,00:54:24
David Breinlinger,00:09:52,00:01:03,00:27:55,00:00:49,00:14:46,00:54:27
Jakob Breinlinger,00:09:50,00:01:02,00:27:59,00:00:49,00:14:50,00:54:32
Jan Pluta,00:10:10,00:01:05,00:27:37,00:00:48,00:15:04,00:54:45
Nils Friedrichs,00:10:27,00:01:09,00:27:18,00:00:54,00:15:00,00:54:49
Sebastian Neef,00:10:22,00:01:08,00:27:20,00:00:51,00:15:09,00:54:51
Tom Hohenadl,00:10:28,00:01:09,00:27:20,00:00:53,00:15:02,00:54:54
Jan Scheffold,00:09:46,00:01:03,00:28:02,00:00:50,00:15:15,00:54:57
Nils Huckschlag,00:10:40,00:01:08,00:27:07,00:00:57,00:15:13,00:55:06
Stefan Betz,00:10:24,00:01:10,00:27:20,00:01:04,00:15:13,00:55:13
Christian Mario Ache,00:10:32,00:01:09,00:27:13,00:00:57,00:15:24,00:55:16
Noah Künz,00:09:50,00:01:03,00:27:59,00:00:52,00:15:33,00:55:18
Elias Schipperges,00:10:34,00:01:22,00:27:00,00:00:58,00:15:26,00:55:21
Lukas Stengel,00:10:24,00:01:08,00:27:24,00:01:05,00:15:22,00:55:25
Jonas Wechsler,00:10:25,00:01:11,00:27:16,00:00:55,00:15:40,00:55:29
Ron Epple,00:09:51,00:01:08,00:27:52,00:01:01,00:15:43,00:55:36
Tim Braeutigam,00:09:48,00:01:08,00:27:59,00:00:52,00:15:51,00:55:39
Laurent Jean Gael LEntete,00:09:57,00:01:01,00:28:01,00:01:02,00:15:46,00:55:48
Julian Phillip Becker,00:09:50,00:01:03,00:28:04,00:00:56,00:16:02,00:55:57
Uwe Drescher,00:10:44,00:01:14,00:26:56,00:00:54,00:16:14,00:56:03
Julian Großkopf,00:10:45,00:01:23,00:28:54,00:00:54,00:14:07,00:56:05
René Höchenberger,00:10:50,00:01:16,00:28:56,00:00:51,00:14:11,00:56:06
Tom Holzmann,00:10:46,00:01:12,00:28:30,00:01:03,00:14:59,00:56:32
Christian Betz,00:10:31,00:01:11,00:27:14,00:00:53,00:16:44,00:56:34
Ruben Zillig,00:10:56,00:01:11,00:28:57,00:00:51,00:14:40,00:56:35
Niklas Lentzkow,00:10:41,00:01:21,00:28:28,00:00:54,00:15:19,00:56:46
Finn Sattler,00:10:47,00:01:12,00:28:27,00:00:49,00:15:31,00:56:48
Karl Mell,00:10:46,00:01:09,00:28:34,00:00:50,00:15:30,00:56:50
Noah Diemann,00:10:48,00:01:11,00:28:30,00:00:49,00:15:39,00:56:59
Mauritz Ehry,00:10:34,00:01:06,00:28:49,00:00:50,00:15:40,00:57:01
Mark Scheuring,00:11:01,00:01:15,00:28:52,00:00:57,00:15:08,00:57:14
Jonas Uster,00:11:21,00:01:10,00:28:32,00:00:53,00:15:19,00:57:17
Johannes Bader,00:10:36,00:01:10,00:28:44,00:00:55,00:15:54,00:57:21
Jan Erik Künne,00:11:07,00:01:12,00:28:47,00:00:55,00:15:20,00:57:23
Jerome Peter,00:11:01,00:01:07,00:28:52,00:00:50,00:15:37,00:57:29
Steffen Kundel,00:10:54,00:01:11,00:28:57,00:00:55,00:15:38,00:57:36
Matthias Betz,00:10:39,00:01:18,00:28:38,00:00:53,00:16:11,00:57:41
Peter Kösters,00:11:28,00:01:16,00:28:20,00:00:57,00:15:39,00:57:41
Sebastian Schiele,00:11:02,00:01:14,00:28:51,00:00:59,00:15:45,00:57:53
Steffen Rupp,00:11:18,00:01:14,00:28:33,00:01:00,00:15:49,00:57:55
Piet Rampf,00:10:45,00:01:07,00:29:17,00:01:06,00:15:44,00:58:00
Tim Wolf,00:10:49,00:01:11,00:28:29,00:00:55,00:16:37,00:58:03
Thijs Oscar Such,00:09:51,00:01:11,00:27:53,00:01:10,00:18:00,00:58:07
Lasse Friedrichs,00:10:39,00:01:15,00:28:37,00:00:52,00:16:46,00:58:12
Georg Schneider,00:11:28,00:01:18,00:28:18,00:00:57,00:16:13,00:58:15
Henrik Maier,00:10:35,00:01:11,00:28:47,00:00:53,00:16:49,00:58:17
Torben Koch,00:10:38,00:01:12,00:28:43,00:00:57,00:16:51,00:58:21
Fabian Knobelspies,00:10:29,00:01:28,00:28:39,00:01:02,00:16:44,00:58:24
Ole Thösen,00:10:43,00:01:10,00:28:37,00:00:56,00:16:58,00:58:25
Ralf Gärtner,00:10:55,00:01:12,00:28:58,00:00:50,00:16:29,00:58:25
Sebastian Kern,00:11:28,00:01:17,00:28:19,00:01:01,00:16:19,00:58:25
Maximilian von Koch,00:10:24,00:01:19,00:28:51,00:01:14,00:16:58,00:58:48
Robin Scheuring,00:11:06,00:01:12,00:28:48,00:00:56,00:16:58,00:59:03
Paul Gekeler,00:11:01,00:01:13,00:28:53,00:00:57,00:17:06,00:59:12
Christian Krämer,00:11:01,00:01:10,00:28:55,00:00:56,00:17:22,00:59:26
Sebastian Meiß,00:10:34,00:01:17,00:29:18,00:01:07,00:17:11,00:59:28
Julian Lüttel,00:10:52,00:01:18,00:30:05,00:01:02,00:16:15,00:59:33
Henrik Schmitt,00:10:52,00:01:18,00:28:55,00:01:00,00:18:05,01:00:12
Tim Kubik,00:09:59,00:01:19,00:29:17,00:01:03,00:18:36,01:00:15
Sascha Petermann,00:10:59,00:01:17,00:28:57,00:01:03,00:18:18,01:00:35
Niklas Schmidt,00:10:23,00:01:23,00:28:53,00:01:07,00:19:22,01:01:09
Sebastian Klein,00:10:01,00:01:14,00:29:19,00:00:55,00:19:46,01:01:15
Simon Luff,00:11:25,00:01:14,00:31:36,00:01:01,00:15:58,01:01:15
Philipp Klein,00:10:51,00:01:11,00:29:09,00:00:57,00:19:44,01:01:53
Florian Mayer,00:11:15,00:01:35,00:31:25,00:01:11,00:16:30,01:01:58
Simon Freisinger,00:09:53,00:01:08,00:29:37,00:01:42,00:20:21,01:02:43
