D5
2022-07-17
Karl Diedrich,00:09:22,0:00:59,00:28:45,00:01:06,00:16:34,00:56:46
Philipp Dressel-Putz,00:09:15,00:01:01,00:28:50,00:01:04,00:16:44,00:56:55
Florian Seifert,00:09:34,00:01:03,00:28:28,00:01:11,00:17:05,00:57:21
Thomas Nielsen,00:09:47,0:00:58,00:28:22,00:01:07,00:17:14,00:57:28
Nicklas Hogervorst,00:09:13,00:01:06,00:28:48,00:01:11,00:17:13,00:57:31
Jonas Müller,00:10:38,00:01:04,00:28:21,00:01:08,00:16:30,00:57:41
Leon Maximilian Vollstedt,00:09:11,00:01:04,00:28:55,00:01:10,00:17:25,00:57:46
Peter Lehmann,00:10:01,0:00:56,00:29:00,00:01:04,00:16:49,00:57:50
Maurice Witt,00:09:10,00:01:07,00:28:48,00:01:07,00:17:43,00:57:55
Aaron Hüter,00:10:10,0:00:56,00:28:54,00:01:08,00:16:55,00:58:04
Leon Schenke,00:10:18,00:01:17,00:28:30,00:01:11,00:16:53,00:58:10
Max Schröter,00:10:36,0:00:57,00:28:33,00:01:12,00:16:54,00:58:12
Maximilian Krüger,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:58:16
Leon Fischer,00:09:35,00:01:03,00:28:29,00:01:12,00:18:00,00:58:20
Jan Ortjohann,00:10:01,00:01:09,00:28:53,00:01:06,00:17:15,00:58:25
Scott Anderson,00:09:53,00:01:11,00:28:53,00:01:04,00:17:28,00:58:30
Paul Senger,00:10:20,0:00:59,00:28:38,00:01:04,00:17:32,00:58:33
Lasse Rohrbeck,00:09:28,0:00:59,00:29:37,00:01:09,00:17:23,00:58:37
Max Paul Komes,00:10:42,0:00:53,00:28:23,00:01:04,00:17:34,00:58:37
Hauke Horstmann,00:10:09,00:01:02,00:28:53,00:01:03,00:17:31,00:58:38
Marc Günther,00:10:25,00:01:03,00:28:38,00:01:08,00:17:41,00:58:56
Simon Knarr,00:10:19,00:01:13,00:28:36,00:01:19,00:17:32,00:59:00
Robbin Rechenberg,00:11:05,00:01:17,00:29:02,00:01:06,00:16:33,00:59:04
Leander Scheer,00:10:03,00:01:00,00:29:01,00:01:07,00:17:53,00:59:05
Friedrich Hegge,00:10:16,00:01:06,00:28:40,00:01:07,00:17:57,00:59:07
Christian Pfeifer,00:10:07,00:01:07,00:28:49,00:01:10,00:17:56,00:59:10
Mirco Hohmann,00:10:17,00:01:01,00:28:43,00:01:07,00:18:06,00:59:15
Tim Mignon,00:10:18,00:01:09,00:28:34,00:01:08,00:18:16,00:59:26
Jonas Meyer,00:10:12,00:01:03,00:28:49,00:01:12,00:18:19,00:59:36
David Spiekermann,00:10:16,00:01:01,00:28:49,00:01:09,00:18:31,00:59:47
