D5
2021-08-08
Remco Verbelen,0:09:39,0:01:30,0:28:37,0:00:33,0:15:32,0:55:47
Sebastian Neef,0:10:09,0:01:25,0:28:08,0:00:37,0:15:44,0:56:02
Jannik Hoffmann,0:10:05,0:01:28,0:28:13,0:00:29,0:15:52,0:56:04
Valentin Hofmann,0:09:36,0:01:20,0:28:48,0:00:29,0:16:13,0:56:24
Jonas Kreckel,0:09:36,0:01:22,0:28:48,0:00:32,0:16:18,0:56:34
Valentin Krems,0:09:37,0:01:24,0:28:42,0:00:31,0:16:41,0:56:53
Marius Lau,0:10:08,0:01:30,0:28:59,0:00:37,0:15:44,0:56:56
Kilian Bauer,0:10:18,0:01:23,0:28:04,0:00:35,0:16:41,0:56:58
Tom Holzmann,0:11:01,0:01:33,0:28:03,0:00:39,0:15:48,0:57:02
Samuel Linsenmeier,0:09:44,0:01:36,0:29:19,0:00:35,0:16:02,0:57:14
Richard Feuer,0:10:01,0:01:27,0:29:13,0:00:36,0:16:03,0:57:18
Peter Kösters,0:10:48,0:01:29,0:28:17,0:00:33,0:16:23,0:57:29
Manuel Lessing,0:09:58,0:01:25,0:29:16,0:00:33,0:16:22,0:57:32
Jaspar Ortfeld,0:09:56,0:01:16,0:29:27,0:00:34,0:16:29,0:57:39
Herbert Enzinger,0:11:13,0:01:27,0:28:48,0:00:34,0:15:43,0:57:43
Uwe Drescher,0:10:53,0:01:29,0:28:14,0:00:38,0:16:43,0:57:55
Henning Scholl,0:09:35,0:01:23,0:28:49,0:00:34,0:17:47,0:58:05
Jannik Stoll,0:10:07,0:01:26,0:28:10,0:00:48,0:17:36,0:58:06
Jonas Uster,0:11:40,0:01:27,0:29:13,0:00:34,0:15:15,0:58:08
Robin Scheuring,0:10:53,0:01:30,0:29:07,0:00:35,0:16:05,0:58:08
Markus Klinder,0:09:30,0:01:40,0:29:32,0:00:38,0:16:53,0:58:11
Daniel König,0:10:53,0:01:36,0:28:12,0:00:42,0:16:52,0:58:13
Lasse Koch,0:10:50,0:01:40,0:28:09,0:00:39,0:17:02,0:58:17
Daniel Hölzl,0:11:11,0:01:27,0:28:55,0:00:33,0:16:19,0:58:23
Luis Valentino Höra,0:10:44,0:01:36,0:28:19,0:00:38,0:17:13,0:58:27
Lars Anders,0:10:40,0:01:33,0:28:20,0:00:35,0:17:51,0:58:56
Julius Domnick,0:10:19,0:01:32,0:28:49,0:00:37,0:17:59,0:59:15
Eugen Ruff,0:10:21,0:01:31,0:29:39,0:00:43,0:17:15,0:59:27
Jerome Peter,0:10:16,0:01:23,0:29:49,0:00:36,0:17:30,0:59:33
Oliver Quintel,0:11:02,0:01:34,0:29:49,0:00:46,0:16:40,0:59:49
Patrick Kilian,0:10:59,0:01:49,0:29:33,0:00:58,0:16:34,0:59:51
Sascha Petermann,0:10:50,0:01:31,0:29:10,0:00:36,0:17:47,0:59:52
Lars Strohbach,0:10:23,0:01:48,0:29:20,0:00:39,0:17:45,0:59:54
Vincent Schipperges,0:10:56,0:01:47,0:28:46,0:00:36,0:17:51,0:59:55
Micha Grosch,0:11:05,0:01:34,0:28:51,0:00:38,0:17:48,0:59:55
Niklas Lentzkow,0:10:45,0:01:32,0:30:08,0:00:35,0:17:00,0:59:58
Philipp Klein,0:10:02,0:01:19,0:29:18,0:00:38,0:18:45,1:00:00
Luca Bauer,0:10:59,0:01:46,0:29:42,0:00:50,0:16:45,1:00:00
Marius Overdick,0:11:19,0:01:56,0:29:07,0:00:39,0:17:10,1:00:09
Alexander Richter,0:10:58,0:01:36,0:28:07,0:00:40,0:18:59,1:00:18
Steven Scheuring,0:11:09,0:01:40,0:29:35,0:00:36,0:17:27,1:00:25
Sebastian Kern,0:11:24,0:01:36,0:29:23,0:00:34,0:17:34,1:00:30
Philip Helfenberger,0:10:53,0:01:35,0:29:55,0:00:38,0:17:37,1:00:36
Thomas Voit,0:10:49,0:01:43,0:28:59,0:00:32,0:18:39,1:00:39
Jan Pluta,0:10:04,0:01:29,0:30:32,0:00:30,0:18:46,1:01:19
Steffen Lotter,0:10:45,0:01:39,0:30:00,0:00:36,0:18:42,1:01:40
Peter Lang,0:10:49,0:01:48,0:29:19,0:00:46,0:19:40,1:02:20
Torben Koch,0:10:35,0:01:41,0:31:01,0:00:39,0:18:48,1:02:42
Elias Knoll,0:10:26,0:01:49,0:30:11,0:00:50,0:19:36,1:02:50
Hendrik Berner,0:12:30,0:01:29,0:31:04,0:00:40,0:17:24,1:03:05
Manuel Heilmann,0:11:06,0:01:42,0:29:38,0:00:43,0:20:02,1:03:09
Leon Pfeiffer,0:11:26,0:01:41,0:31:39,0:00:44,0:18:29,1:03:56
Thijs Oscar Such,0:09:35,0:01:36,0:30:55,0:00:43,0:21:59,1:04:46
Oliver Koch,0:13:21,0:01:25,0:30:17,0:00:47,0:19:01,1:04:49
Ben Schmitt,0:11:29,0:01:36,0:32:32,0:00:44,0:19:51,1:06:10
