D5
2023-06-17
Fabian Kraft,00:08:59,00:01:03,00:27:48,00:00:36,00:15:52,00:54:27
Jakob Breinlinger,00:09:25,00:01:03,00:27:24,00:00:38,00:16:10,00:54:40
David Breinlinger,00:09:22,00:01:08,00:27:22,00:00:36,00:16:19,00:54:45
Axel Rosencrantz,00:09:23,00:01:02,00:27:29,00:00:40,00:16:20,00:54:54
Luis Rühl,00:09:28,00:01:01,00:27:23,00:00:42,00:16:56,00:55:29
Jan Scheffold,00:09:27,00:01:03,00:27:24,00:00:37,00:17:11,00:55:40
Nils Lorenz,00:09:23,00:01:08,00:27:25,00:00:40,00:17:08,00:55:43
Luis Steiert,00:09:48,00:01:03,00:28:41,00:00:40,00:16:15,00:56:26
Julian Großkopf,00:10:15,00:01:04,00:28:21,00:00:47,00:16:03,00:56:29
Ben Böhm,00:10:18,00:01:08,00:28:03,00:00:41,00:16:21,00:56:30
Sebastian Neef,00:09:40,00:00:59,00:28:49,00:00:41,00:16:24,00:56:33
Justus Oeckl,00:09:39,00:01:07,00:28:54,00:00:35,00:16:23,00:56:37
Ron Epple,00:09:26,00:01:03,00:27:26,00:00:42,00:18:07,00:56:44
Nils Huckschlag,00:09:59,00:01:11,00:28:30,00:00:38,00:16:34,00:56:52
Julian Phillip Becker,00:09:28,00:01:03,00:27:25,00:00:48,00:18:17,00:57:01
Tom Hohenadl,00:10:07,00:01:11,00:28:21,00:00:44,00:16:43,00:57:04
Alexander Richter,00:10:16,00:01:05,00:28:18,00:00:45,00:16:49,00:57:13
Uwe Drescher,00:10:19,00:01:05,00:28:13,00:00:42,00:16:51,00:57:19
Luis Valentino Höra,00:09:43,00:01:04,00:28:47,00:00:42,00:17:10,00:57:26
Karl Mell,00:09:58,00:01:12,00:28:31,00:00:44,00:16:54,00:57:29
Sebastian Schiele,00:09:56,00:01:05,00:28:44,00:00:40,00:17:05,00:57:29
Stefan Betz,00:10:20,00:01:04,00:28:23,00:00:43,00:17:02,00:57:30
Lasse Friedrichs,00:09:34,00:01:05,00:29:05,00:00:46,00:17:05,00:57:34
Nils Friedrichs,00:09:38,00:01:04,00:28:57,00:00:48,00:17:03,00:57:39
Christian Mario Ache,00:10:09,00:01:03,00:28:29,00:00:43,00:17:24,00:57:47
René Höchenberger,00:10:23,00:01:08,00:29:45,00:00:36,00:16:00,00:57:50
Matthias Betz,00:09:46,00:01:04,00:28:55,00:00:41,00:17:34,00:57:58
Maximilian von Koch,00:10:06,00:01:09,00:28:27,00:00:51,00:17:31,00:58:04
Jonas Wechsler,00:09:41,00:01:05,00:28:51,00:00:40,00:17:59,00:58:16
Thijs Oscar Such,00:09:27,00:01:14,00:28:59,00:00:45,00:18:06,00:58:31
Pablo Warter Rubio,00:10:00,00:01:09,00:28:31,00:00:41,00:18:13,00:58:35
Finn Sattler,00:10:29,00:01:02,00:29:42,00:00:39,00:16:46,00:58:37
Steffen Kundel,00:10:27,00:01:08,00:29:40,00:00:41,00:16:54,00:58:50
Moritz Göttler,00:09:27,00:01:09,00:29:07,00:00:40,00:18:33,00:58:55
Eugen Ruff,00:09:48,00:01:05,00:28:48,00:00:42,00:18:40,00:59:02
Ben Kaufmann,00:09:46,00:01:01,00:28:51,00:00:35,00:18:51,00:59:03
Yannick Lieners,00:09:55,00:01:07,00:30:17,00:00:41,00:17:09,00:59:08
Stefan Reschwamm,00:10:38,00:01:05,00:29:34,00:00:43,00:17:11,00:59:11
Noah Treptow,00:10:17,00:01:14,00:29:46,00:00:44,00:17:13,00:59:14
Niklas Lentzkow,00:10:13,00:01:07,00:30:02,00:00:45,00:17:18,00:59:24
Vincent Schipperges,00:10:16,00:01:07,00:28:21,00:00:45,00:19:01,00:59:29
Yannic Baier,00:10:40,00:01:04,00:29:28,00:00:39,00:17:41,00:59:31
Bastian Glockshuber,00:11:05,00:01:07,00:30:17,00:00:41,00:16:25,00:59:34
Christian Krämer,00:10:35,00:01:07,00:29:34,00:00:42,00:17:40,00:59:37
Christian Betz,00:09:51,00:01:07,00:28:48,00:00:42,00:19:16,00:59:43
Jan Erik Künne,00:10:33,00:01:05,00:29:36,00:00:41,00:17:57,00:59:51
Mauritz Ehry,00:10:25,00:01:04,00:29:50,00:00:40,00:17:56,00:59:55
Robin Scheuring,00:10:45,00:01:08,00:29:27,00:00:44,00:18:03,01:00:06
Torben Koch,00:10:04,00:01:09,00:30:04,00:00:41,00:18:16,01:00:14
Samuel Feuersinger,00:10:03,00:01:09,00:30:05,00:00:46,00:18:15,01:00:17
Ole Thösen,00:10:10,00:01:08,00:30:02,00:00:42,00:18:21,01:00:23
Peter Kösters,00:10:58,00:01:05,00:30:24,00:00:41,00:17:36,01:00:43
Mark Scheuring,00:10:23,00:01:04,00:30:02,00:00:41,00:18:40,01:00:49
Steffen Rupp,00:10:53,00:01:13,00:30:24,00:00:45,00:17:39,01:00:53
Philipp Hofmann,00:09:31,00:01:07,00:30:37,00:00:47,00:19:03,01:01:03
Lars Heppner,00:10:40,00:01:23,00:30:28,00:00:48,00:17:52,01:01:10
Sebastian Kern,00:11:03,00:01:07,00:30:20,00:00:45,00:18:02,01:01:17
Henrik Maier,00:10:35,00:01:07,00:29:39,00:00:43,00:19:29,01:01:31
Jerome Peter,00:10:46,00:01:02,00:30:38,00:00:38,00:18:52,01:01:56
Oliver Quintel,00:10:37,00:01:02,00:30:52,00:00:44,00:18:53,01:02:08
Tim Kubik,00:09:30,00:01:12,00:29:05,00:00:47,00:22:09,01:02:42
Sven Heinle,00:11:16,00:01:11,00:32:21,00:00:43,00:17:16,01:02:46
Jonas Hofmann,00:10:56,00:01:03,00:32:50,00:00:51,00:17:15,01:02:54
Henrik Schmitt,00:10:29,00:01:13,00:30:49,00:00:56,00:19:35,01:03:02
Nico Steisslinger,00:11:08,00:01:16,00:32:26,00:00:55,00:17:14,01:03:08
Georg Schneider,00:10:41,00:01:11,00:31:34,00:00:57,00:19:09,01:03:30
Julian Lüttel,00:10:20,00:01:17,00:31:58,00:00:54,00:19:16,01:03:44
Florian Mayer,00:11:31,00:01:10,00:32:12,00:01:34,00:18:04,01:04:29
Sascha Petermann,00:10:51,00:01:18,00:31:18,00:00:48,00:20:33,01:04:47
Niklas Schmidt,00:09:58,00:01:10,00:31:38,00:00:49,00:21:39,01:05:12
Thomas Voit,00:11:04,00:01:20,00:32:29,00:00:49,00:19:51,01:05:31
Jorgo Distler,00:11:09,00:01:17,00:32:26,00:00:57,00:20:07,01:05:54
Leon Pfeiffer,00:11:30,00:01:19,00:32:03,00:00:57,00:20:23,01:06:11
Oliver Buch,00:11:10,00:01:16,00:34:39,00:00:49,00:18:53,01:06:46
Benjamin Lenk,00:12:04,00:01:22,00:34:01,00:01:04,00:21:18,01:09:48
Bent Salzmann,00:10:21,00:01:13,00:36:05,00:01:21,00:30:41,01:19:41
Cornelius Theus,00:10:03,00:01:12,00:00:00,00:00:00,00:00:00,00:00:00
Noah Diemann,00:10:10,00:01:09,00:00:00,00:00:00,00:00:00,00:00:00
Louis Hagen,00:12:42,00:01:12,00:34:56,00:00:00,00:00:00,00:00:00
