D5
2023-07-23
Simon Westermann,00:09:19,00:00:38,00:25:35,00:00:22,00:17:32,00:53:25
Rico Bogen,00:09:26,00:00:41,00:25:24,00:00:24,00:17:44,00:53:38
Stefan Zachäus,00:09:30,00:00:39,00:25:23,00:00:23,00:17:51,00:53:43
Dominic Coy,00:09:52,00:00:42,00:25:41,00:00:22,00:17:11,00:53:46
Thomas Bishop,00:09:33,00:00:44,00:25:18,00:00:29,00:17:50,00:53:52
Jonas Osterholt,00:09:28,00:00:38,00:25:26,00:00:24,00:18:09,00:54:03
Chris Ziehmer,00:09:32,00:00:38,00:25:24,00:00:24,00:18:13,00:54:09
Nicolò Ragazzo,00:09:36,00:00:41,00:25:53,00:00:28,00:17:33,00:54:09
Gjalt Panjer,00:09:38,00:00:37,00:25:19,00:00:29,00:18:14,00:54:16
Emil Holm,00:09:47,00:00:38,00:25:46,00:00:24,00:17:45,00:54:17
Ben Cumberland,00:09:41,00:00:42,00:25:51,00:00:27,00:17:48,00:54:26
Wilhelm Hirsch,00:09:45,00:00:40,00:25:46,00:00:28,00:17:48,00:54:26
Joe Sherman,00:09:47,00:00:44,00:25:42,00:00:27,00:17:49,00:54:28
Fabian Kraft,00:09:35,00:00:43,00:25:16,00:00:27,00:18:37,00:54:36
Peter Denteneer,00:09:44,00:00:41,00:25:45,00:00:33,00:17:57,00:54:40
Brad Course,00:09:51,00:00:40,00:26:08,00:00:30,00:17:34,00:54:41
Till Kramp,00:09:46,00:00:41,00:25:44,00:00:27,00:18:08,00:54:44
Victor Goené,00:09:55,00:00:40,00:25:39,00:00:26,00:18:08,00:54:45
Lennart Sievers,00:09:56,00:00:38,00:25:39,00:00:26,00:18:10,00:54:46
Cedric Osterholt,00:09:24,00:00:41,00:25:28,00:00:25,00:18:54,00:54:50
Niels van Lanen,00:09:52,00:00:43,00:25:39,00:00:27,00:18:18,00:54:57
Michael Ziegler,00:09:48,00:00:43,00:25:41,00:00:26,00:18:21,00:54:58
Gregor Payet,00:10:07,00:00:39,00:25:50,00:00:24,00:18:02,00:55:00
Theo Sonnenberg,00:09:52,00:00:41,00:25:38,00:00:27,00:18:38,00:55:14
Amaury Dietrich,00:09:49,00:00:40,00:25:44,00:00:23,00:18:40,00:55:15
Jonas Kreckel,00:09:43,00:00:38,00:25:51,00:00:27,00:18:41,00:55:17
David Vollmann,00:09:56,00:00:40,00:25:37,00:00:31,00:18:37,00:55:18
Thomas Ott,00:09:48,00:00:41,00:25:43,00:00:32,00:18:43,00:55:25
Pep Delvaux,00:10:04,00:00:41,00:25:52,00:00:29,00:18:24,00:55:29
Thomas Guilmot,00:10:04,00:00:41,00:25:50,00:00:29,00:18:26,00:55:29
Silas Schmitt,00:09:59,00:00:39,00:25:59,00:00:27,00:18:32,00:55:35
Marcel Lehmberg,00:10:05,00:00:39,00:25:51,00:00:25,00:18:35,00:55:35
Linus Lehnen,00:10:10,00:00:38,00:25:50,00:00:29,00:18:31,00:55:35
Richard Feuer,00:09:58,00:00:37,00:25:38,00:00:25,00:19:04,00:55:39
Samuel Linsenmeier,00:09:53,00:00:49,00:25:55,00:00:33,00:18:44,00:55:52
Seppe De Graef,00:10:08,00:00:42,00:25:47,00:00:33,00:18:50,00:55:58
Sébastien Pascal,00:10:11,00:00:41,00:27:44,00:00:28,00:16:59,00:56:01
Dario Ernst,00:10:06,00:00:41,00:25:49,00:00:30,00:19:04,00:56:08
Luca Fahrenson,00:09:50,00:00:40,00:25:44,00:00:29,00:19:32,00:56:13
Nick Emde,00:09:56,00:00:39,00:25:36,00:00:34,00:19:34,00:56:18
Benedikt Bettin,00:09:39,00:00:37,00:25:16,00:00:25,00:20:29,00:56:24
Jannik Hoffmann,00:10:02,00:00:36,00:25:58,00:00:30,00:19:25,00:56:30
Karl Diedrich,00:10:10,00:00:40,00:25:49,00:00:34,00:19:26,00:56:37
Simon den Braber,00:10:06,00:00:45,00:25:45,00:00:29,00:19:45,00:56:49
Junias Benjamin Groth,00:10:09,00:00:43,00:25:46,00:00:29,00:19:47,00:56:52
Malte Kreibich,00:09:52,00:00:38,00:25:44,00:00:29,00:20:15,00:56:56
Jonathan Trebst,00:10:10,00:00:38,00:27:49,00:00:24,00:17:56,00:56:56
Paul Wiesner,00:10:27,00:00:39,00:27:28,00:00:30,00:17:57,00:56:58
Maximilian Meckel,00:09:50,00:00:42,00:25:42,00:00:29,00:20:19,00:57:00
Monty Dixon,00:10:12,00:00:38,00:27:47,00:00:27,00:18:20,00:57:21
Luca Heerdt,00:10:21,00:00:41,00:27:36,00:00:25,00:19:02,00:58:03
Simon Nolte,00:10:24,00:00:37,00:27:33,00:00:28,00:19:08,00:58:08
Nils Huckschlag,00:10:19,00:00:38,00:27:37,00:00:28,00:19:30,00:58:31
Philipp Mack,00:10:12,00:00:40,00:27:44,00:00:26,00:19:50,00:58:50
Friedrich Hegge,00:10:13,00:00:39,00:27:43,00:00:28,00:19:54,00:58:54
Matteo Brian Kozka,00:10:27,00:00:37,00:27:31,00:00:27,00:20:14,00:59:15
Aron Thimm,00:09:46,00:00:41,00:27:33,00:00:24,00:21:27,00:59:48
Moritz Werrbach,00:10:16,00:00:40,00:27:42,00:00:28,00:20:44,00:59:49
Daniel Roggenland,00:10:27,00:00:37,00:27:31,00:00:26,00:21:38,01:00:36
Jonas Weller,00:11:03,00:00:37,00:27:00,00:00:32,00:22:37,01:01:46
Moritz Bickel,00:11:23,00:00:43,00:29:00,00:00:31,00:20:32,01:02:07
