D5
2022-07-10
Wilhelm Hirsch,00:09:11,00:01:11,00:26:48,00:00:33,00:15:11,00:52:53
Mattia Weßling,00:09:27,00:01:14,00:26:30,00:00:34,00:15:46,00:53:31
Alejandro Canas Del Palacio,00:09:36,00:01:10,00:27:00,00:00:40,00:15:16,00:53:41
Hannes Venter,00:09:21,00:01:12,00:27:10,00:00:33,00:15:31,00:53:46
Lasse Schöfisch,00:10:21,00:01:12,00:26:12,00:00:40,00:15:26,00:53:51
Jonathan Trebst,00:10:04,00:01:09,00:26:30,00:00:32,00:15:40,00:53:54
Leon Maximilian Vollstedt,00:09:23,00:01:11,00:26:37,00:00:38,00:16:11,00:54:00
Aaron Hüter,00:09:52,00:01:08,00:26:43,00:00:38,00:15:40,00:54:00
Lennart Müller,00:09:51,00:01:14,00:26:42,00:00:33,00:15:44,00:54:04
Jan Baumgarten,00:10:12,00:01:17,00:26:15,00:00:35,00:15:48,00:54:07
Chris-Marvin Scheffler,00:10:11,00:01:19,00:26:18,00:00:38,00:15:43,00:54:09
Florian Seifert,00:10:05,00:01:14,00:26:20,00:00:40,00:15:54,00:54:15
Jan Rudolf,00:09:42,00:01:16,00:26:48,00:00:41,00:15:49,00:54:16
Scott Anderson,00:10:15,00:01:14,00:26:13,00:00:35,00:16:01,00:54:18
Gianluca Weßling,00:09:19,00:01:16,00:26:35,00:00:36,00:16:33,00:54:20
Peter Lehmann,00:09:58,00:01:13,00:26:34,00:00:39,00:15:56,00:54:20
Luca Heerdt,00:10:05,00:01:21,00:26:18,00:00:37,00:16:02,00:54:24
Lukas Schnödewind,00:10:12,00:01:18,00:26:10,00:00:41,00:16:11,00:54:33
Junias Benjamin Groth,00:09:50,00:01:14,00:26:41,00:00:38,00:16:11,00:54:35
Michael Raelert,00:09:39,00:01:11,00:26:52,00:00:42,00:16:15,00:54:39
Lasse Rohrbeck,00:09:54,00:01:13,00:26:37,00:00:37,00:16:23,00:54:45
Jonas Müller,00:10:45,00:01:13,00:26:36,00:00:43,00:15:34,00:54:52
Bartosz Smeda,00:09:55,00:01:16,00:26:38,00:00:43,00:16:24,00:54:56
Hauke Horstmann,00:10:40,00:01:11,00:26:40,00:00:32,00:15:54,00:54:57
Constantin Johannsen,00:09:42,00:01:11,00:26:53,00:00:43,00:16:29,00:54:58
Maximilian Krüger,00:09:07,00:01:12,00:26:52,00:00:36,00:17:11,00:54:59
Leon Schenke,00:10:41,00:01:11,00:26:41,00:00:34,00:15:52,00:54:59
Felix Günther,00:10:23,00:01:11,00:26:59,00:00:36,00:15:50,00:55:00
Oliver Hostrup Sahlberg,00:09:12,00:01:09,00:26:47,00:00:40,00:17:23,00:55:12
Simon David Müller,00:11:11,00:01:17,00:27:16,00:00:39,00:14:50,00:55:13
Julien Hasse,00:09:57,00:01:11,00:26:39,00:00:34,00:16:53,00:55:15
Silas Engel Plambæk,00:11:04,00:01:11,00:26:51,00:00:37,00:15:50,00:55:34
Sascha Thiel,00:10:04,00:01:12,00:26:31,00:00:37,00:17:19,00:55:42
Daniel Roggenland,00:10:05,00:01:12,00:26:21,00:00:33,00:17:32,00:55:44
Johannes Kern,00:09:58,00:01:18,00:26:31,00:00:39,00:17:20,00:55:46
Christian Pfeifer,00:10:13,00:01:18,00:27:03,00:00:36,00:16:39,00:55:49
Friedrich Hegge,00:10:42,00:01:13,00:26:37,00:00:37,00:16:43,00:55:52
Robbin Rechenberg,00:11:19,00:01:15,00:27:08,00:00:40,00:15:24,00:55:56
Carlo Büscher,00:10:14,00:01:16,00:26:16,00:00:38,00:17:33,00:55:58
Sascha Vetter,00:10:10,00:01:18,00:27:06,00:00:44,00:16:42,00:56:00
Simeon Schumann,00:09:40,00:01:12,00:26:55,00:00:41,00:17:33,00:56:01
Dennis Weu,00:10:20,00:01:16,00:27:00,00:00:46,00:16:41,00:56:02
Marc Günther,00:11:14,00:01:09,00:26:44,00:00:39,00:16:16,00:56:02
Tim Mignon,00:10:41,00:01:13,00:26:41,00:00:38,00:16:52,00:56:05
Max Paul Komes,00:10:44,00:01:08,00:27:16,00:00:38,00:16:20,00:56:06
Marius Lindemann,00:10:11,00:01:14,00:26:18,00:00:48,00:17:34,00:56:06
Leander Scheer,00:10:30,00:01:11,00:26:52,00:00:36,00:16:59,00:56:07
Finn Eschler,00:10:48,00:01:14,00:27:07,00:00:36,00:16:29,00:56:15
Christian Nass,00:10:57,00:01:16,00:27:30,00:00:39,00:15:54,00:56:16
Magnus Lynge Larsen,00:10:39,00:01:16,00:27:17,00:00:40,00:16:16,00:56:17
Sören Weniger,00:10:38,00:01:16,00:26:44,00:00:38,00:17:06,00:56:22
Eric Cramer,00:10:39,00:01:17,00:26:39,00:00:44,00:17:13,00:56:32
Stefan Becker,00:10:57,00:01:24,00:26:46,00:00:39,00:16:55,00:56:41
Maximilian Zbocna,00:10:49,00:01:11,00:27:09,00:00:40,00:16:54,00:56:42
Constantin Krüger,00:09:47,00:01:14,00:26:43,00:00:41,00:18:18,00:56:43
Lorenz Heinemann,00:11:10,00:01:11,00:26:49,00:00:38,00:16:57,00:56:46
Christian Haupt,00:10:59,00:01:19,00:26:49,00:00:50,00:16:53,00:56:49
Daniel Hahn,00:10:54,00:01:13,00:27:37,00:00:44,00:16:22,00:56:50
Lennard Böge,00:10:18,00:01:16,00:27:04,00:00:39,00:17:40,00:56:56
Pascal Unbehaun,00:11:49,00:01:13,00:26:40,00:00:41,00:16:38,00:57:00
Paul Korte,00:10:56,00:01:11,00:27:02,00:00:49,00:17:11,00:57:10
Björn Scheibner,00:11:32,00:01:16,00:26:54,00:00:40,00:16:51,00:57:13
Oliver Uldahl,00:10:48,00:01:13,00:27:12,00:00:42,00:17:30,00:57:25
Mirco Fuhrmann,00:10:12,00:01:23,00:27:01,00:00:40,00:18:11,00:57:27
Christopher Reiß,00:11:31,00:01:11,00:27:01,00:00:39,00:17:09,00:57:31
Raphael Schröder,00:10:52,00:01:16,00:26:57,00:00:40,00:17:46,00:57:32
Piotr Brudlo,00:10:59,00:01:19,00:27:28,00:00:37,00:17:12,00:57:36
Marian Kraemer,00:11:06,00:01:14,00:27:20,00:00:38,00:17:28,00:57:46
Tobias Stepanek,00:11:28,00:01:16,00:27:01,00:00:41,00:17:27,00:57:52
Lukes Eggert,00:10:28,00:01:21,00:27:23,00:00:48,00:18:01,00:58:02
Valentin Mussehl,00:10:46,00:01:11,00:26:36,00:00:38,00:18:58,00:58:09
Cornelis Scheltinga,00:11:34,00:01:14,00:26:54,00:00:42,00:17:42,00:58:15
Claas Bradler,00:11:14,00:01:18,00:27:10,00:00:49,00:17:54,00:58:24
Malte Prüfert,00:09:15,00:01:09,00:27:30,00:00:37,00:19:54,00:58:25
Bouke Scheltinga,00:11:27,00:01:22,00:26:56,00:00:38,00:18:14,00:58:38
Niklas Günther,00:10:57,00:01:22,00:28:24,00:00:50,00:17:18,00:58:51
Malte Meierjürgen,00:10:42,00:01:14,00:27:14,00:00:40,00:20:11,01:00:00
Alexander Gossmann,00:11:56,00:01:16,00:29:30,00:00:39,00:16:40,01:00:02
Philipp Küppers,00:11:03,00:01:20,00:28:19,00:00:42,00:18:49,01:00:13
Thies Heinrichs,00:10:38,00:01:18,00:27:51,00:00:48,00:19:51,01:00:25
Tilman Kühne,00:10:11,00:01:25,00:27:01,00:00:40,00:21:12,01:00:29
Christian Dinraths,00:10:52,00:01:17,00:28:31,00:00:41,00:19:14,01:00:36
Marek Dierks,00:11:32,00:01:16,00:29:07,00:00:47,00:18:06,01:00:48
Patrick Hanhart,00:11:54,00:01:10,00:29:36,00:00:41,00:17:30,01:00:51
Jonas Küpper,00:10:52,00:01:19,00:29:33,00:00:44,00:18:41,01:01:10
Maximilian Schöpping,00:11:33,00:01:19,00:29:50,00:00:43,00:18:17,01:01:42
Kjon Frenz,00:09:34,00:01:22,00:00:00,00:00:00,00:00:00,00:00:00
